52,Hoc Sinh AX,nu,7,2,2006,tphcm,123456789012,0987123456,tot,10A
1,Hoc Sinh A,nam,1,1,2006,tphcm,123456789012,0918234567,tot,10A
2,Hoc Sinh B,nam,2,5,2006,tphcm,123456789012,0976345678,tot,10A
17,Hoc Sinh Q,nam,17,2,2006,tphcm,123456789012,0909456789,tot,10A
7,Hoc Sinh G,nam,7,3,2006,tphcm,123456789012,0934567890,tot,10A
48,Hoc Sinh AT,nu,3,2,2006,tphcm,123456789012,0945678901,tot,10B
49,Hoc Sinh AU,nu,4,2,2006,tphcm,123456789012,0966789012,tot,10B
21,Hoc Sinh S,nam,21,3,2006,tphcm,123456789012,0927890123,tot,10B
3,Hoc Sinh C,nam,3,6,2006,tphcm,123456789012,0958901234,tot,10B
4,Hoc Sinh D,nam,4,10,2006,tphcm,123456789012,0999012345,tot,10B
51,Hoc Sinh AW,nam,6,2,2006,tphcm,123456789012,0881123456,tot,10C
53,Hoc Sinh AY,nu,8,2,2006,tphcm,123456789012,0862234567,tot,10C
5,Hoc Sinh E,nam,5,12,2006,tphcm,123456789012,0893345678,tot,10C
6,Hoc Sinh F,nam,6,12,2006,tphcm,123456789012,0874456789,tot,10C
8,Hoc Sinh H,nam,8,4,2006,tphcm,123456789012,0855567890,tot,10C
19,Hoc Sinh S,nam,19,10,2006,tphcm,123456789012,0836678901,tot,10D
46,Hoc Sinh AR,nu,1,2,2006,tphcm,123456789012,0817789012,tot,10D
47,Hoc Sinh AS,nu,2,2,2006,tphcm,123456789012,0828890123,tot,10D
23,Hoc Sinh U,nam,23,1,2006,tphcm,123456789012,0849901234,tot,10D
24,Hoc Sinh V,nam,24,1,2006,tphcm,123456789012,0800012345,tot,10D
9,Hoc Sinh I,nam,9,8,2005,tphcm,123456789012,0971234567,tot,11A
10,Hoc Sinh J,nam,10,9,2005,tphcm,123456789012,0942345678,tot,11A
25,Hoc Sinh W,nu,26,6,2005,tphcm,123456789012,0933456789,tot,11A
26,Hoc Sinh X,nu,26,7,2005,tphcm,123456789012,0964567890,tot,11A
54,Hoc Sinh AZ,nam,9,2,2005,tphcm,123456789012,0955678901,tot,11A
56,Hoc Sinh BB,nam,11,2,2005,tphcm,123456789012,0926789012,tot,11B
57,Hoc Sinh BC,nam,12,2,2005,tphcm,123456789012,0917890123,tot,11B
12,Hoc Sinh L,nam,12,11,2005,tphcm,123456789012,0988901234,tot,11B
27,Hoc Sinh Y,nu,27,10,2005,tphcm,123456789012,0999001234,tot,11B
16,Hoc Sinh P,nam,16,6,2005,tphcm,123456789012,0861123456,tot,11B
13,Hoc Sinh M,nam,13,3,2005,tphcm,123456789012,0882234567,tot,11C
14,Hoc Sinh N,nam,14,5,2005,tphcm,123456789012,0873345678,tot,11C
15,Hoc Sinh O,nu,15,7,2005,tphcm,123456789012,0854456789,tot,11C
29,Hoc Sinh AA,nam,29,12,2005,tphcm,123456789012,0895567890,tot,11C
30,Hoc Sinh AB,nu,16,1,2005,tphcm,123456789012,0816678901,tot,11C
11,Hoc Sinh K,nam,11,10,2005,tphcm,123456789012,0837789012,tot,11D
28,Hoc Sinh Z,nam,28,11,2005,tphcm,123456789012,0828890123,tot,11D
58,Hoc Sinh BD,nam,13,2,2005,tphcm,123456789012,0849901234,tot,11D
59,Hoc Sinh BE,nu,14,2,2005,tphcm,123456789012,0800012345,tot,11D
60,Hoc Sinh BF,nu,15,2,2005,tphcm,123456789012,0911123456,tot,11D
18,Hoc Sinh R,nam,18,9,2004,tphcm,123456789012,0962234567,tot,12A
31,Hoc Sinh AC,nu,26,9,2004,tphcm,123456789012,0973345678,tot,12A
32,Hoc Sinh AD,nu,31,1,2004,tphcm,123456789012,0984456789,tot,12A
39,Hoc Sinh AK,nam,31,12,2004,tphcm,123456789012,0955567890,tot,12A
40,Hoc Sinh AL,nam,14,5,2004,tphcm,123456789012,0946678901,tot,12A
20,Hoc Sinh T,nam,20,5,2004,tphcm,123456789012,0937789012,tot,12B
33,Hoc Sinh AE,nu,30,1,2004,tphcm,123456789012,0928890123,tot,12B
34,Hoc Sinh AF,nam,8,2,2004,tphcm,123456789012,0919901234,tot,12B
41,Hoc Sinh AM,nu,6,1,2004,tphcm,123456789012,0990001234,tot,12B
42,Hoc Sinh AN,nam,2,3,2004,tphcm,123456789012,0851123456,tot,12B
22,Hoc Sinh T,nam,22,2,2004,tphcm,123456789012,0842234567,tot,12C
35,Hoc Sinh AG,nam,28,4,2004,tphcm,123456789012,0833345678,tot,12C
36,Hoc Sinh AH,nam,25,8,2004,tphcm,123456789012,0824456789,tot,12C
43,Hoc Sinh AO,nu,12,1,2004,tphcm,123456789012,0815567890,tot,12C
44,Hoc Sinh AP,nu,23,7,2004,tphcm,123456789012,0896678901,tot,12C
37,Hoc Sinh AI,nu,23,7,2004,tphcm,123456789012,0887789012,tot,12D
38,Hoc Sinh AJ,nu,31,10,2004,tphcm,123456789012,0878890123,tot,12D
45,Hoc Sinh AQ,nam,9,8,2004,tphcm,123456789012,0869901234,tot,12D
55,Hoc Sinh BA,nam,10,2,2004,tphcm,123456789012,0800001234,tot,12D
50,Hoc Sinh AV,nam,5,2,2004,tphcm,123456789012,0987654321,tot,12D
